symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2020-01-02 05:00:00+00:00,424.5,430.6957,421.71,430.26,9763456.0,136851.0,427.117489
TSLA,2020-01-03 05:00:00+00:00,440.5,454.0,436.92,443.01,18034327.0,236310.0,446.323497
TSLA,2020-01-06 05:00:00+00:00,440.47,451.56,440.0,451.5,10362505.0,134223.0,445.863261
TSLA,2020-01-07 05:00:00+00:00,461.4,471.63,453.355,469.06,18488930.0,250189.0,464.051044
TSLA,2020-01-08 05:00:00+00:00,473.7,498.49,468.23,492.14,31486817.0,413644.0,485.693897
TSLA,2020-01-09 05:00:00+00:00,497.1,498.8,472.87,481.34,28959816.0,384282.0,485.533718
TSLA,2020-01-10 05:00:00+00:00,481.79,484.94,473.7,478.15,13217075.0,181667.0,478.804229
TSLA,2020-01-13 05:00:00+00:00,493.5,525.63,492.0,524.86,26916914.0,369915.0,511.288547
TSLA,2020-01-14 05:00:00+00:00,544.255,547.41,524.9,537.92,29600289.0,406428.0,538.125989
TSLA,2020-01-15 05:00:00+00:00,529.76,537.84,516.7853,518.5,17643746.0,261961.0,529.061934
TSLA,2020-01-16 05:00:00+00:00,493.75,514.46,492.17,513.49,22123951.0,325060.0,504.569632
TSLA,2020-01-17 05:00:00+00:00,507.61,515.6699,503.16,510.5,13813309.0,190821.0,509.772057
TSLA,2020-01-21 05:00:00+00:00,530.25,548.58,528.41,547.2,18179449.0,272579.0,541.996991
TSLA,2020-01-22 05:00:00+00:00,571.89,594.5,559.1,569.56,31690107.0,506196.0,577.257325
TSLA,2020-01-23 05:00:00+00:00,564.25,582.0,555.6027,572.2,19976322.0,307306.0,570.098145
TSLA,2020-01-24 05:00:00+00:00,570.63,573.86,554.26,564.82,14616973.0,218533.0,563.449212
TSLA,2020-01-27 05:00:00+00:00,541.99,564.44,539.28,558.02,13965124.0,217772.0,552.26701
TSLA,2020-01-28 05:00:00+00:00,568.49,576.81,558.08,566.9,12037137.0,176360.0,565.933217
TSLA,2020-01-29 05:00:00+00:00,575.69,589.7999,567.43,580.99,18402036.0,308991.0,578.263871
TSLA,2020-01-30 05:00:00+00:00,632.42,650.88,618.0,640.81,29325130.0,445501.0,641.731115
TSLA,2020-01-31 05:00:00+00:00,640.0,653.0,632.52,650.57,15948140.0,257721.0,641.937786
TSLA,2020-02-03 05:00:00+00:00,673.69,786.14,673.52,780.0,47716948.0,837244.0,737.783618
TSLA,2020-02-04 05:00:00+00:00,882.96,968.9899,833.88,887.06,61608599.0,1287715.0,907.200433
TSLA,2020-02-05 05:00:00+00:00,823.26,845.98,704.1106,734.7,49031721.0,1033184.0,760.863934
TSLA,2020-02-06 05:00:00+00:00,699.92,795.83,687.0,748.96,40198694.0,804002.0,748.920831
TSLA,2020-02-07 05:00:00+00:00,730.55,769.75,730.0,748.07,17349194.0,329104.0,746.915079
TSLA,2020-02-10 05:00:00+00:00,800.0,819.99,752.4,771.28,25004236.0,503953.0,778.458229
TSLA,2020-02-11 05:00:00+00:00,768.79,783.5061,758.0,774.38,11852880.0,235502.0,773.047637
TSLA,2020-02-12 05:00:00+00:00,777.87,789.75,763.37,767.29,12219564.0,233449.0,775.595604
TSLA,2020-02-13 05:00:00+00:00,741.84,818.0,735.0,804.0,26530668.0,498952.0,790.224141
TSLA,2020-02-14 05:00:00+00:00,787.22,812.97,785.5,800.03,16083324.0,282224.0,802.12392
TSLA,2020-02-18 05:00:00+00:00,841.6,860.0,832.36,858.4,16969256.0,335966.0,850.080462
TSLA,2020-02-19 05:00:00+00:00,923.5,944.78,901.02,917.42,25774105.0,511346.0,922.026151
TSLA,2020-02-20 05:00:00+00:00,911.95,912.0,859.94,899.41,17868247.0,357924.0,890.881635
TSLA,2020-02-21 05:00:00+00:00,906.98,913.06,880.45,901.0,14593174.0,264896.0,894.763077
TSLA,2020-02-24 05:00:00+00:00,839.0,863.5,822.2,833.79,15468801.0,340315.0,842.031013
TSLA,2020-02-25 05:00:00+00:00,849.0,856.6,787.0,799.91,17531474.0,376592.0,810.569943
TSLA,2020-02-26 05:00:00+00:00,782.5,813.31,776.11,778.8,14478231.0,299007.0,791.02336
TSLA,2020-02-27 05:00:00+00:00,730.0,739.77,669.0,679.0,24637922.0,499893.0,703.626494
TSLA,2020-02-28 05:00:00+00:00,629.7,690.52,611.52,667.99,24868828.0,477800.0,646.417164
TSLA,2020-03-02 05:00:00+00:00,711.26,743.69,686.67,743.62,20517227.0,400095.0,717.290692
TSLA,2020-03-03 05:00:00+00:00,805.0,806.98,716.1106,745.51,26141884.0,523093.0,763.374903
TSLA,2020-03-04 05:00:00+00:00,763.9603,766.52,724.7345,749.5,15254105.0,291779.0,744.168963
TSLA,2020-03-05 05:00:00+00:00,723.77,745.75,718.07,724.54,11036202.0,212442.0,730.810853
TSLA,2020-03-06 05:00:00+00:00,690.0035,707.0,684.27,703.48,12848083.0,258464.0,695.48573
TSLA,2020-03-09 04:00:00+00:00,606.26,662.998,605.0,608.0,17483292.0,341257.0,627.814228
TSLA,2020-03-10 04:00:00+00:00,659.43,668.0,608.0,645.33,15892986.0,302026.0,637.769868
TSLA,2020-03-11 04:00:00+00:00,640.2,653.58,613.0,634.23,13601097.0,246539.0,634.55906
TSLA,2020-03-12 04:00:00+00:00,580.89,594.5,546.25,560.55,19392243.0,371894.0,565.03895
TSLA,2020-03-13 04:00:00+00:00,595.0,607.57,502.0,546.62,22899828.0,424899.0,539.134384
TSLA,2020-03-16 04:00:00+00:00,469.4997,494.8699,442.17,445.07,20941052.0,381026.0,465.049311
TSLA,2020-03-17 04:00:00+00:00,440.01,471.85,396.0,430.2,24340580.0,431552.0,429.358028
TSLA,2020-03-18 04:00:00+00:00,389.0,404.86,350.51,361.22,24132215.0,434985.0,374.883244
TSLA,2020-03-19 04:00:00+00:00,374.6965,452.0,358.46,427.64,30528292.0,543182.0,414.786097
TSLA,2020-03-20 04:00:00+00:00,438.2,477.0,425.79,427.53,28764626.0,483649.0,444.918686
TSLA,2020-03-23 04:00:00+00:00,433.6,441.9999,410.5,434.29,16725458.0,284107.0,427.420572
TSLA,2020-03-24 04:00:00+00:00,477.3,513.69,474.0,505.0,23233117.0,439501.0,497.324227
TSLA,2020-03-25 04:00:00+00:00,545.25,557.0,511.11,539.25,21560719.0,430950.0,539.433163
TSLA,2020-03-26 04:00:00+00:00,547.39,560.0,512.25,528.16,17659067.0,357344.0,533.291639
TSLA,2020-03-27 04:00:00+00:00,505.0,525.8,494.03,514.36,14563578.0,274634.0,507.919583
TSLA,2020-03-30 04:00:00+00:00,510.26,516.6471,491.23,502.13,12213046.0,224809.0,504.703691
TSLA,2020-03-31 04:00:00+00:00,501.25,542.96,497.0,524.0,18658606.0,293521.0,525.93585
TSLA,2020-04-01 04:00:00+00:00,504.0,513.9548,475.1,481.56,13572675.0,270900.0,494.663074
TSLA,2020-04-02 04:00:00+00:00,481.03,494.2599,446.4,454.47,20041281.0,378132.0,468.079755
TSLA,2020-04-03 04:00:00+00:00,509.5,515.49,468.3901,480.01,22872494.0,389715.0,487.358029
TSLA,2020-04-06 04:00:00+00:00,511.2,521.0,497.96,516.24,15256857.0,275889.0,510.198269
TSLA,2020-04-07 04:00:00+00:00,545.0,565.0,532.34,545.45,18201537.0,344487.0,549.137095
TSLA,2020-04-08 04:00:00+00:00,554.2,557.2081,533.33,548.84,12799689.0,231567.0,546.30499
TSLA,2020-04-09 04:00:00+00:00,562.09,575.1818,557.11,573.0,13859226.0,261486.0,568.089652
TSLA,2020-04-13 04:00:00+00:00,590.16,652.0,580.53,650.95,22687776.0,441171.0,619.837109
TSLA,2020-04-14 04:00:00+00:00,698.97,741.88,692.43,709.89,30899920.0,655147.0,722.689629
TSLA,2020-04-15 04:00:00+00:00,742.0,753.13,710.0,729.83,23841701.0,477428.0,732.437337
TSLA,2020-04-16 04:00:00+00:00,716.94,759.45,706.715,745.21,20822778.0,406969.0,736.74335
TSLA,2020-04-17 04:00:00+00:00,772.28,774.95,747.66,753.89,13393640.0,274447.0,758.882739
TSLA,2020-04-20 04:00:00+00:00,732.7,765.57,712.21,746.36,14909860.0,288932.0,748.243525
TSLA,2020-04-21 04:00:00+00:00,730.12,753.33,673.79,686.72,20398678.0,453969.0,708.306321
TSLA,2020-04-22 04:00:00+00:00,703.98,734.0,688.71,732.11,14412773.0,284000.0,710.338675
TSLA,2020-04-23 04:00:00+00:00,727.6,734.0,703.13,705.63,13369477.0,253706.0,720.69991
TSLA,2020-04-24 04:00:00+00:00,710.81,730.73,698.18,725.15,13334457.0,234467.0,714.658497
