symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-01-03 05:00:00+00:00,148.51,149.96,140.96,143.15,41810749.0,424976.0,143.646131
NVDA,2023-01-04 05:00:00+00:00,145.67,148.53,142.41,147.49,45047174.0,367771.0,146.207992
NVDA,2023-01-05 05:00:00+00:00,144.91,145.64,141.4795,142.65,41702951.0,365499.0,143.069141
NVDA,2023-01-06 05:00:00+00:00,144.74,150.1,140.34,148.59,43123117.0,356760.0,146.173519
NVDA,2023-01-09 05:00:00+00:00,152.84,160.56,151.41,156.28,52588232.0,518399.0,157.8712
NVDA,2023-01-10 05:00:00+00:00,155.07,159.6199,154.72,159.09,40374109.0,360976.0,157.536478
NVDA,2023-01-11 05:00:00+00:00,158.3951,160.28,155.63,160.01,37772219.0,339157.0,158.336655
NVDA,2023-01-12 05:00:00+00:00,161.0,166.37,154.92,165.11,57246159.0,531720.0,162.11837
NVDA,2023-01-13 05:00:00+00:00,162.78,169.22,161.65,168.99,46579169.0,425171.0,166.83674
NVDA,2023-01-17 05:00:00+00:00,168.99,177.28,168.99,177.02,53349850.0,499108.0,175.185695
NVDA,2023-01-18 05:00:00+00:00,176.67,178.73,172.82,173.77,46116435.0,407662.0,175.179308
NVDA,2023-01-19 05:00:00+00:00,170.36,171.97,167.31,167.65,48022329.0,378370.0,169.232928
NVDA,2023-01-20 05:00:00+00:00,170.11,178.56,168.25,178.39,60373746.0,449698.0,174.531848
NVDA,2023-01-23 05:00:00+00:00,180.64,192.45,178.175,191.93,68143517.0,586659.0,188.342116
NVDA,2023-01-24 05:00:00+00:00,188.27,194.95,188.2,192.65,51556244.0,427822.0,191.495554
NVDA,2023-01-25 05:00:00+00:00,189.125,193.7,185.8,193.23,46419756.0,401048.0,189.985726
NVDA,2023-01-26 05:00:00+00:00,197.01,201.66,192.78,198.02,50881372.0,461623.0,196.502803
NVDA,2023-01-27 05:00:00+00:00,194.62,206.28,194.05,203.65,55925775.0,518400.0,201.753285
NVDA,2023-01-30 05:00:00+00:00,199.5,201.4,191.5,191.62,50754016.0,500092.0,195.375202
NVDA,2023-01-31 05:00:00+00:00,191.695,196.87,189.5,195.37,52448249.0,459641.0,194.130892
NVDA,2023-02-01 05:00:00+00:00,196.91,211.92,196.11,209.43,69248016.0,622703.0,203.85596
NVDA,2023-02-02 05:00:00+00:00,210.0,219.49,207.0,217.09,57012533.0,643709.0,214.620235
NVDA,2023-02-03 05:00:00+00:00,210.0,217.4499,207.89,211.0,45611088.0,467657.0,213.016045
NVDA,2023-02-06 05:00:00+00:00,208.06,215.7,207.86,210.89,46678865.0,432989.0,212.001322
NVDA,2023-02-07 05:00:00+00:00,213.82,222.59,211.5,221.73,68928590.0,638405.0,217.144194
NVDA,2023-02-08 05:00:00+00:00,223.87,228.78,220.0801,222.05,58179290.0,597059.0,223.780266
NVDA,2023-02-09 05:00:00+00:00,226.06,230.2,221.2,223.37,53963263.0,569280.0,226.611481
NVDA,2023-02-10 05:00:00+00:00,216.9,220.7764,208.11,212.65,56862895.0,605127.0,213.059832
NVDA,2023-02-13 05:00:00+00:00,215.38,220.48,209.62,217.88,50133579.0,463569.0,217.029895
NVDA,2023-02-14 05:00:00+00:00,215.78,230.488,213.66,229.71,69801249.0,697356.0,225.929666
NVDA,2023-02-15 05:00:00+00:00,225.49,228.55,221.06,227.64,44096797.0,471922.0,225.493133
NVDA,2023-02-16 05:00:00+00:00,221.33,225.5,219.268,220.02,43957508.0,473579.0,222.313608
NVDA,2023-02-17 05:00:00+00:00,216.31,217.4,209.75,213.88,48143019.0,550448.0,213.428914
NVDA,2023-02-21 05:00:00+00:00,210.0,214.938,206.18,206.55,44553755.0,427161.0,209.245257
NVDA,2023-02-22 05:00:00+00:00,207.07,211.04,204.21,207.54,53440494.0,542703.0,207.764174
NVDA,2023-02-23 05:00:00+00:00,234.4,238.88,230.25,236.64,115126835.0,1259507.0,235.48038
NVDA,2023-02-24 05:00:00+00:00,232.25,234.74,229.47,232.86,61438022.0,670204.0,232.079894
NVDA,2023-02-27 05:00:00+00:00,236.7,238.7994,234.54,235.01,46804659.0,508295.0,236.519189
NVDA,2023-02-28 05:00:00+00:00,233.72,238.25,232.06,232.16,49947912.0,451109.0,234.616001
NVDA,2023-03-01 05:00:00+00:00,231.92,232.5557,225.08,226.98,47676244.0,502262.0,227.942444
NVDA,2023-03-02 05:00:00+00:00,224.88,233.804,224.32,233.14,40757880.0,426253.0,229.492001
NVDA,2023-03-03 05:00:00+00:00,233.2,239.0,231.3,238.9,43661039.0,509686.0,235.461376
NVDA,2023-03-06 05:00:00+00:00,238.91,242.48,234.87,235.54,45832416.0,475732.0,238.370581
NVDA,2023-03-07 05:00:00+00:00,236.0,241.25,232.41,232.88,53100164.0,556620.0,236.640636
NVDA,2023-03-08 05:00:00+00:00,234.87,242.0,234.235,241.81,53314270.0,513052.0,238.848334
NVDA,2023-03-09 05:00:00+00:00,241.75,244.54,233.8284,234.36,52589800.0,522392.0,239.126615
NVDA,2023-03-10 05:00:00+00:00,234.09,236.27,227.26,229.65,49754798.0,529583.0,230.916045
NVDA,2023-03-13 04:00:00+00:00,227.52,232.98,222.97,229.66,44737487.0,489156.0,229.300896
NVDA,2023-03-14 04:00:00+00:00,234.96,242.19,234.6,240.63,50577136.0,495076.0,239.386678
NVDA,2023-03-15 04:00:00+00:00,237.61,242.86,233.6,242.28,54916008.0,598897.0,238.3074
NVDA,2023-03-16 04:00:00+00:00,240.27,255.88,238.94,255.41,61099837.0,664558.0,249.801973
NVDA,2023-03-17 04:00:00+00:00,259.82,263.99,256.68,257.25,101839860.0,732474.0,258.960499
NVDA,2023-03-20 04:00:00+00:00,256.15,260.24,251.2983,259.0,45236193.0,511403.0,256.989509
NVDA,2023-03-21 04:00:00+00:00,261.8,263.92,253.81,261.99,56824563.0,607794.0,260.374093
NVDA,2023-03-22 04:00:00+00:00,264.25,275.89,262.37,264.68,80972030.0,885257.0,269.898789
NVDA,2023-03-23 04:00:00+00:00,271.155,274.99,266.9,271.91,57026890.0,675335.0,271.95711
NVDA,2023-03-24 04:00:00+00:00,270.31,271.67,263.55,267.79,47038091.0,557390.0,266.533112
NVDA,2023-03-27 04:00:00+00:00,268.37,270.0,263.65,265.31,37487743.0,407679.0,266.502889
NVDA,2023-03-28 04:00:00+00:00,264.47,265.13,258.5,264.1,36773145.0,411939.0,261.829913
NVDA,2023-03-29 04:00:00+00:00,268.25,270.78,265.97,269.84,41868011.0,451119.0,269.042747
NVDA,2023-03-30 04:00:00+00:00,272.29,274.99,271.02,273.83,38269301.0,441763.0,273.302635
NVDA,2023-03-31 04:00:00+00:00,271.4,278.3431,271.05,277.77,43598777.0,493962.0,275.781475
NVDA,2023-04-03 04:00:00+00:00,275.09,280.0,273.36,279.65,41864269.0,497827.0,277.083869
NVDA,2023-04-04 04:00:00+00:00,279.66,280.0,273.07,274.53,38711401.0,446182.0,276.09093
NVDA,2023-04-05 04:00:00+00:00,268.29,269.98,263.95,268.81,53546442.0,641369.0,266.837282
NVDA,2023-04-06 04:00:00+00:00,265.84,270.8,264.27,270.37,41498845.0,467413.0,268.674938
NVDA,2023-04-10 04:00:00+00:00,268.23,276.2099,266.69,275.79,40916478.0,495664.0,272.939889
NVDA,2023-04-11 04:00:00+00:00,277.235,277.9,271.26,271.69,32919396.0,379219.0,273.197177
NVDA,2023-04-12 04:00:00+00:00,273.7,274.6799,264.475,264.95,45953272.0,527272.0,267.750448
NVDA,2023-04-13 04:00:00+00:00,267.34,268.869,263.29,264.63,37543209.0,426499.0,266.452352
NVDA,2023-04-14 04:00:00+00:00,265.04,268.83,262.2,267.58,41094420.0,452255.0,265.828003
NVDA,2023-04-17 04:00:00+00:00,265.655,270.06,264.3318,270.02,32325429.0,378508.0,267.407246
NVDA,2023-04-18 04:00:00+00:00,275.335,281.1,273.57,276.67,61830458.0,662462.0,277.574634
NVDA,2023-04-19 04:00:00+00:00,273.61,280.0,272.32,279.31,36071939.0,400912.0,277.415117
NVDA,2023-04-20 04:00:00+00:00,276.71,280.3,270.0,271.04,44864247.0,484425.0,274.988005
NVDA,2023-04-21 04:00:00+00:00,269.52,271.83,267.22,271.19,36156701.0,370012.0,270.010095
NVDA,2023-04-24 04:00:00+00:00,270.13,273.6599,266.7101,270.42,34081193.0,333116.0,270.060093
NVDA,2023-04-25 04:00:00+00:00,270.78,272.47,262.25,262.41,37987463.0,398025.0,265.549677
NVDA,2023-04-26 04:00:00+00:00,270.02,273.3,267.051,269.56,40904650.0,462354.0,270.475505
NVDA,2023-04-27 04:00:00+00:00,273.63,274.95,266.2501,272.26,37927648.0,449757.0,269.737961
NVDA,2023-04-28 04:00:00+00:00,272.25,277.58,270.7148,277.49,31144754.0,367672.0,274.894425
NVDA,2023-05-01 04:00:00+00:00,278.4,290.5844,277.8,289.1,57212367.0,647577.0,286.224417
NVDA,2023-05-02 04:00:00+00:00,286.8,288.3599,280.83,282.1,41867326.0,486633.0,283.562351
NVDA,2023-05-03 04:00:00+00:00,278.4,283.67,274.72,278.02,39671487.0,460854.0,279.06173
NVDA,2023-05-04 04:00:00+00:00,276.51,278.59,272.4,275.62,33552343.0,399683.0,275.711469
NVDA,2023-05-05 04:00:00+00:00,278.255,287.55,277.31,286.8,38068801.0,446842.0,284.227828
NVDA,2023-05-08 04:00:00+00:00,285.22,292.2,283.5,291.51,35728327.0,402864.0,288.673892
NVDA,2023-05-09 04:00:00+00:00,288.99,289.73,284.5,285.71,32978722.0,373194.0,286.306167
NVDA,2023-05-10 04:00:00+00:00,290.05,291.13,284.6128,288.85,37237717.0,445397.0,288.589318
NVDA,2023-05-11 04:00:00+00:00,288.96,289.5,282.46,285.78,33692515.0,403952.0,285.578851
NVDA,2023-05-12 04:00:00+00:00,285.29,287.8,280.46,283.4,27560361.0,362452.0,283.305838
NVDA,2023-05-15 04:00:00+00:00,285.085,289.69,281.52,289.53,30990713.0,356298.0,286.846015
NVDA,2023-05-16 04:00:00+00:00,288.41,298.7,288.32,292.13,45059492.0,540153.0,294.317092
NVDA,2023-05-17 04:00:00+00:00,295.84,301.99,294.3001,301.78,45586184.0,527653.0,298.977802
NVDA,2023-05-18 04:00:00+00:00,304.1,318.28,303.2,316.78,77370786.0,858950.0,313.577301
NVDA,2023-05-19 04:00:00+00:00,315.36,315.8,309.16,312.64,49975477.0,566276.0,312.539957
NVDA,2023-05-22 04:00:00+00:00,309.01,315.2,306.8,311.76,38956449.0,461567.0,312.10113
NVDA,2023-05-23 04:00:00+00:00,310.0,312.88,306.31,306.88,35625326.0,463666.0,309.064583
NVDA,2023-05-24 04:00:00+00:00,302.1,306.07,298.06,305.38,72141851.0,1002242.0,301.589042
NVDA,2023-05-25 04:00:00+00:00,385.23,394.8,366.35,379.8,156572617.0,2225519.0,382.574394
NVDA,2023-05-26 04:00:00+00:00,378.9,391.7,375.5,389.46,75676840.0,957603.0,385.608449
NVDA,2023-05-30 04:00:00+00:00,405.95,419.38,399.49,401.11,92340113.0,1318466.0,406.760644
NVDA,2023-05-31 04:00:00+00:00,394.88,402.95,378.22,378.34,100798988.0,1111106.0,386.042355
NVDA,2023-06-01 04:00:00+00:00,384.89,400.5,383.4,397.7,64073543.0,902293.0,393.277877
NVDA,2023-06-02 04:00:00+00:00,400.97,405.0,390.5801,393.27,56804963.0,853037.0,395.419729
NVDA,2023-06-05 04:00:00+00:00,389.09,395.6503,387.07,391.71,39622572.0,554985.0,391.03267
NVDA,2023-06-06 04:00:00+00:00,388.3,391.6,381.48,386.54,38872217.0,538306.0,387.113203
NVDA,2023-06-07 04:00:00+00:00,389.15,394.99,373.56,374.75,51229255.0,698072.0,383.85654
NVDA,2023-06-08 04:00:00+00:00,377.24,388.64,375.05,385.1,41785641.0,595633.0,383.630948
NVDA,2023-06-09 04:00:00+00:00,390.37,397.11,385.67,387.7,42855407.0,586638.0,390.835614
NVDA,2023-06-12 04:00:00+00:00,392.0,395.2999,386.18,394.82,38970455.0,533741.0,390.399096
NVDA,2023-06-13 04:00:00+00:00,401.86,411.01,397.4,410.22,61334763.0,853887.0,405.453199
NVDA,2023-06-14 04:00:00+00:00,408.24,430.0,405.52,429.97,74038755.0,1013422.0,419.624513
NVDA,2023-06-15 04:00:00+00:00,426.02,432.89,421.47,426.53,56849710.0,763044.0,427.941159
NVDA,2023-06-16 04:00:00+00:00,434.5,437.21,426.605,426.92,65548809.0,735416.0,432.153082
NVDA,2023-06-20 04:00:00+00:00,429.98,439.9,426.74,438.08,45123463.0,631759.0,432.769504
NVDA,2023-06-21 04:00:00+00:00,435.01,436.15,420.8,430.45,55187835.0,738549.0,428.481341
NVDA,2023-06-22 04:00:00+00:00,422.53,434.255,422.34,430.25,41780819.0,542516.0,429.726375
NVDA,2023-06-23 04:00:00+00:00,424.64,428.09,420.15,422.09,35833560.0,504332.0,423.923804
NVDA,2023-06-26 04:00:00+00:00,424.61,427.64,401.0,406.32,59440026.0,799639.0,411.400191
NVDA,2023-06-27 04:00:00+00:00,407.99,419.4,404.48,418.76,46408477.0,612722.0,412.487271
NVDA,2023-06-28 04:00:00+00:00,406.6,418.45,405.18,411.17,58283768.0,793893.0,412.182481
NVDA,2023-06-29 04:00:00+00:00,415.58,416.0,406.0,408.22,38051430.0,496354.0,409.66822
NVDA,2023-06-30 04:00:00+00:00,416.8,425.5,415.01,423.02,49567756.0,622896.0,422.32909
NVDA,2023-07-03 04:00:00+00:00,425.17,428.98,422.02,424.13,19770252.0,321864.0,425.123915
NVDA,2023-07-05 04:00:00+00:00,421.35,431.77,420.85,423.17,32371034.0,468301.0,426.757963
NVDA,2023-07-06 04:00:00+00:00,418.44,421.79,413.46,421.03,30422017.0,448256.0,418.032917
NVDA,2023-07-07 04:00:00+00:00,423.22,432.14,421.8,425.03,35588149.0,465975.0,427.833974
NVDA,2023-07-10 04:00:00+00:00,426.57,428.11,416.49,421.8,35430049.0,501476.0,421.198556
NVDA,2023-07-11 04:00:00+00:00,424.81,427.58,420.67,424.05,30185091.0,410818.0,423.732926
NVDA,2023-07-12 04:00:00+00:00,430.33,439.35,427.7728,439.02,48153862.0,633304.0,435.996553
NVDA,2023-07-13 04:00:00+00:00,445.18,461.55,444.92,459.77,47856483.0,679386.0,451.762356
NVDA,2023-07-14 04:00:00+00:00,465.8281,480.88,450.6,454.69,77208933.0,1061069.0,466.395274
NVDA,2023-07-17 04:00:00+00:00,462.89,464.96,452.6241,464.61,51062648.0,677994.0,458.925493
NVDA,2023-07-18 04:00:00+00:00,467.01,478.9599,457.34,474.94,57036869.0,752591.0,468.901142
NVDA,2023-07-19 04:00:00+00:00,474.64,478.18,467.42,470.77,42816008.0,640931.0,471.616725
NVDA,2023-07-20 04:00:00+00:00,465.07,470.87,450.62,455.2,53833607.0,768539.0,459.286667
NVDA,2023-07-21 04:00:00+00:00,457.88,458.66,441.0,443.09,97466460.0,742186.0,446.494124
NVDA,2023-07-24 04:00:00+00:00,447.31,451.09,440.4,446.12,38317522.0,496449.0,446.323605
NVDA,2023-07-25 04:00:00+00:00,449.41,461.825,449.23,456.79,34934388.0,489131.0,457.738612
NVDA,2023-07-26 04:00:00+00:00,460.21,460.53,446.3,454.52,36435215.0,507765.0,453.113397
NVDA,2023-07-27 04:00:00+00:00,465.19,473.95,457.5,459.0,45611385.0,642340.0,466.728431
NVDA,2023-07-28 04:00:00+00:00,466.68,470.27,463.81,467.5,33119424.0,449393.0,467.05979
NVDA,2023-07-31 04:00:00+00:00,467.54,471.3,465.0601,467.29,25114815.0,388237.0,467.54591
NVDA,2023-08-01 04:00:00+00:00,464.595,469.0,460.27,465.07,23951637.0,381647.0,464.958382
NVDA,2023-08-02 04:00:00+00:00,458.31,458.4,433.87,442.69,53028453.0,807206.0,444.249076
NVDA,2023-08-03 04:00:00+00:00,438.0,451.18,438.0,445.15,32515687.0,461019.0,446.412707
NVDA,2023-08-04 04:00:00+00:00,449.85,456.42,443.93,446.8,36266620.0,504076.0,450.158061
NVDA,2023-08-07 04:00:00+00:00,451.11,455.4,445.6345,454.165,32221369.0,441457.0,451.095642
NVDA,2023-08-08 04:00:00+00:00,448.53,452.42,440.5601,446.64,35398862.0,502704.0,446.120489
NVDA,2023-08-09 04:00:00+00:00,442.74,443.12,421.34,425.54,58662685.0,801656.0,429.701517
NVDA,2023-08-10 04:00:00+00:00,421.6,435.74,418.35,423.88,49273399.0,646188.0,426.245216
NVDA,2023-08-11 04:00:00+00:00,417.51,420.18,406.39,408.55,53308527.0,721164.0,411.685063
NVDA,2023-08-14 04:00:00+00:00,404.86,438.0,403.11,437.53,69109577.0,871622.0,426.646111
NVDA,2023-08-15 04:00:00+00:00,445.6,452.68,437.1,439.4,67664826.0,881950.0,443.772941
NVDA,2023-08-16 04:00:00+00:00,445.2,446.75,434.06,434.86,52759646.0,666402.0,439.347224
NVDA,2023-08-17 04:00:00+00:00,439.7,440.62,430.01,433.435,45257691.0,558142.0,435.166981
NVDA,2023-08-18 04:00:00+00:00,426.35,435.7799,416.6,432.99,58376788.0,725004.0,427.053093
NVDA,2023-08-21 04:00:00+00:00,444.94,470.65,442.22,469.67,69286886.0,907537.0,457.88651
NVDA,2023-08-22 04:00:00+00:00,481.35,481.87,453.331,456.68,75744767.0,1076197.0,462.228442
NVDA,2023-08-23 04:00:00+00:00,458.66,472.0,452.08,471.16,78516548.0,1220040.0,465.790137
NVDA,2023-08-24 04:00:00+00:00,502.16,502.66,471.59,471.63,115650628.0,1722677.0,483.040687
NVDA,2023-08-25 04:00:00+00:00,470.12,478.05,450.24,460.18,92618866.0,1289234.0,460.737445
